	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1174	2	0
2	60	1205	2	0
3	90	1236	10	0
4	120	1283	11	0
5	150	1312	12	0
6	180	1352	17	0
7	210	1389	17	0
8	240	1432	17	0
9	270	1459	18	0
10	300	1503	19	0
11	330	1552	22	0
12	360	1595	26	0
13	390	1644	28	0
14	420	1695	30	0
15	450	1724	40	0
16	480	1765	43	0
17	510	1797	45	0
18	540	1845	47	0
19	570	1893	49	0
20	600	1937	54	0
21	630	1980	49	0
22	660	2031	52	0
23	690	2082	52	0
24	720	2139	53	0
25	750	2170	61	0
26	780	2225	63	0
27	810	2285	69	0
28	840	2334	75	0
29	870	2417	75	0
30	900	2475	74	0
31	930	2521	79	0
32	960	2582	77	0
33	990	2654	75	0
34	1020	2734	79	0
35	1050	2788	83	0
36	1080	2851	81	0
37	1110	2918	77	0
38	1140	2992	75	0
39	1170	3056	80	0
40	1200	3144	78	0
41	1230	3231	78	0
42	1260	3307	74	0
43	1290	3381	73	0
44	1320	3456	76	0
45	1350	3520	74	0
46	1380	3586	74	0
47	1410	3652	78	0
48	1440	3736	80	0
