	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.012812414773005614	-0.0066948750535900225	0.027873191225858605	0.012812414773005614	-0.0066948750535900225	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.178060557411719	0.15000000000000316	0.2900000000000026	0.7000000000000111	0.5	1.0	0.0	0.0	0.5026362038664324	0.0	0.0	1.0	0.0	0.0
1	30	2419.210741752133	0.0	5.0	14.0	41.07375601962439	523.9372071372355	1895.273534614902	0.7492751338978711	0.0	0.010050306165032354	-0.0009224394673271797	0.021861911526003006	0.010050306165032354	-0.0009224394673271797	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	34.14208451352383	0.15000000000000324	0.2900000000000031	0.7000000000000121	0.5	1.0	0.0	0.591296928327645	0.5042662116040956	0.03583617747440273	0.0	0.32797193749085835	0.43663374863959203	0.23539431386954957
2	60	2359.676514624575	0.0	5.0	14.0	67.8930769503867	511.3522102817942	1848.3243043427813	0.7480451212365495	0.0	0.008898235838903137	-0.0004900423993123098	0.02433264769991176	0.008898235838903137	-0.0004900423993123098	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.91269091641229	0.15000000000000324	0.29000000000000303	0.7000000000000121	0.5	1.0	0.0	0.43969204448246363	0.49443969204448246	0.272027373823781	0.0	0.01581413584896605	0.7066456373583007	0.2775402267927334
3	90	2296.402286847951	0.0	5.0	14.0	92.69240048130828	498.1664039223875	1798.235882925563	0.7460204988794525	0.0	0.018578694569072605	0.0012696092465248343	0.016266175916478987	0.018578694569072605	0.0012696092465248343	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.87708862968647	0.150000000000003	0.2900000000000014	0.700000000000009	0.5	1.0	0.0	0.5794392523364486	0.44672897196261685	0.3411214953271028	0.0	0.3307475131448362	0.43454589091522905	0.234706595939934
4	120	2219.6191211897885	0.0	5.0	14.0	114.1378478724441	482.2691848688413	1737.3499363209496	0.7434035188557344	0.0	0.01705299167220138	0.0031710815886795826	0.016012217424416074	0.01705299167220138	0.0031710815886795826	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.7632400681283	0.15000000000000274	0.2899999999999997	0.7000000000000056	0.5	1.0	0.0	0.4887755102040816	0.3846938775510204	0.363265306122449	0.0	0.017167065573043018	0.7050756340264156	0.27775730040054175
5	150	2175.2481575973816	0.0	5.0	14.0	136.2210233774468	473.440099623678	1701.8080579737027	0.7413285768125788	0.0	0.016005242072668947	0.002970880230779409	0.016786620327040324	0.016005242072668947	0.002970880230779409	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.761515540338	0.15000000000000238	0.2899999999999975	0.7000000000000005	0.5	1.0	0.0	0.5627157652474108	0.31645569620253167	0.4062140391254315	0.0	0.3325319352217129	0.434092109925049	0.23337595485323764
6	180	2150.069315588447	0.0	5.0	14.0	158.82267911766283	468.73398744000536	1681.3353281484376	0.7395645703066607	0.0	0.020118568928447392	0.006629759344378386	0.017126568514184475	0.020118568928447392	0.006629759344378386	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.983946605818	0.1500000000000021	0.289999999999998	0.6999999999999965	0.5	1.0	0.0	0.4355444305381727	0.2590738423028786	0.42052565707133915	0.0	0.022954432507935725	0.6995162511425594	0.27752931634950456
7	210	2122.9641136485684	0.0	5.0	14.0	177.46545536767616	463.4549862753395	1659.5091273732316	0.7386817840061303	0.0	0.009236735736762702	0.01165123963056202	0.02588714282744386	0.009236735736762702	0.01165123963056202	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.88087557375746	0.15000000000000185	0.28999999999999837	0.6999999999999932	0.5	1.0	0.0	0.5147058823529411	0.20320855614973263	0.44385026737967914	0.0	0.3313093764162875	0.4357125784682862	0.23297804511542633
8	240	2099.279832469031	0.0	5.0	14.0	196.37869773575724	458.92439748711587	1640.3554349819142	0.7376463841907139	0.0	0.01135633998500319	0.009092842992395163	0.02971995553264152	0.01135633998500319	0.009092842992395163	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.61587207292132	0.1500000000000016	0.2899999999999988	0.6999999999999921	0.5	1.0	0.0	0.5	0.15285714285714286	0.44142857142857145	0.0	0.023861266772950408	0.6985703471185055	0.27756838610854395
9	270	2072.5257424294264	0.0	5.0	14.0	213.1291054648061	453.7374147747404	1618.788327654683	0.736583790776411	0.0	0.013459664555264459	0.015811234197371276	0.03263275765744723	0.013459664555264459	0.015811234197371276	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.48906453475615	0.1500000000000014	0.28999999999999915	0.6999999999999923	0.5	1.0	0.0	0.527736131934033	0.10794602698650675	0.48125937031484256	0.0	0.328985650302243	0.4369017146154085	0.23411263508234828
