	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	2	1182	0
2	60	24	1189	14
3	90	139	1068	50
4	120	269	948	71
5	150	378	852	90
6	180	451	788	108
7	210	501	749	124
8	240	556	703	142
9	270	587	674	166
10	300	606	663	180
11	330	626	649	197
12	360	637	634	213
13	390	652	627	228
14	420	661	625	244
15	450	670	597	272
16	480	677	608	285
17	510	682	605	299
18	540	684	604	319
19	570	669	608	329
20	600	581	613	342
21	630	444	612	358
22	660	329	621	373
23	690	253	614	397
24	720	206	616	412
25	750	156	612	426
26	780	127	604	458
27	810	107	599	485
28	840	91	597	499
29	870	75	607	513
30	900	64	604	536
31	930	66	590	555
32	960	54	592	572
33	990	51	600	584
34	1020	45	597	601
35	1050	45	600	613
36	1080	45	598	629
37	1110	45	602	640
38	1140	44	604	660
39	1170	47	596	683
40	1200	49	604	696
41	1230	49	607	709
42	1260	48	592	737
43	1290	46	587	762
44	1320	43	589	772
45	1350	44	599	779
46	1380	45	596	798
47	1410	52	594	814
48	1440	46	604	831
