,test,best result,evaluations
0,test29,8.474944582710844,300
1,test29,2.6196703811073547,625
2,test29,1.1753109926044918,1250
3,test29,1.0671618030747838,2500
4,test29,0.9445898748807716,5000
5,test29,0.6277657191254449,10000
6,test30,4.770414200671105,300
7,test30,2.190323400500004,625
8,test30,1.0316375125667665,1250
9,test30,1.0316375125667665,2500
10,test30,0.9324483093346194,5000
11,test30,0.6454067146245238,10000
12,test12,4.2664601579497115,300
13,test12,3.2471285240920524,625
14,test12,2.3526572382886357,1250
15,test12,1.3156735367606671,2500
16,test12,1.1706506293338863,5000
17,test12,0.8831485477761702,10000
18,test18,7.988878193332836,300
19,test18,3.1164063534679576,625
20,test18,1.3529382849713028,1250
21,test18,1.1096948338514443,2500
22,test18,0.9604836851263464,5000
23,test18,0.6956228068775531,10000
24,test24,6.909853049868303,300
25,test24,1.4870605485439194,625
26,test24,1.1574670701140348,1250
27,test24,1.0455450135875892,2500
28,test24,0.6876285269029204,5000
29,test24,0.4886577099606039,10000
30,test10,4.184542750931631,300
31,test10,1.9863976069426788,625
32,test10,1.4662514355539382,1250
33,test10,1.1968791561754253,2500
34,test10,1.0077342552825144,5000
35,test10,0.4956516729395717,10000
36,test19,4.377942823507081,300
37,test19,1.66678020114225,625
38,test19,1.4174747160400956,1250
39,test19,1.1306977650729166,2500
40,test19,1.0799290776804815,5000
41,test19,0.8705185140076269,10000
42,test15,7.191131852290628,300
43,test15,2.0673713949358263,625
44,test15,1.4507867556319245,1250
45,test15,1.373917632494883,2500
46,test15,1.1242286769876508,5000
47,test15,0.8934747115868259,10000
48,test8,7.794535643857998,300
49,test8,5.0239961920877265,625
50,test8,2.034661386597547,1250
51,test8,1.337314402573267,2500
52,test8,1.0378320861544574,5000
53,test8,0.5248288319249025,10000
54,test7,2.5871766636145104,300
55,test7,2.0046918486604417,625
56,test7,1.2812227604452624,1250
57,test7,1.0716326171808863,2500
58,test7,1.0331981004287778,5000
59,test7,0.6651689130068589,10000
60,test25,3.1858319793162115,300
61,test25,2.1172412890733696,625
62,test25,1.4232257756165583,1250
63,test25,1.1960209250451994,2500
64,test25,1.083942808215763,5000
65,test25,0.9057076924601696,10000
66,test3,6.124227879798385,300
67,test3,2.5967781757845083,625
68,test3,1.7411971324192832,1250
69,test3,1.3706075183077804,2500
70,test3,1.0322233362753894,5000
71,test3,0.8138310017331227,10000
72,test11,5.28644632900541,300
73,test11,2.7035661882940984,625
74,test11,1.6297531300254804,1250
75,test11,1.09341846228397,2500
76,test11,1.0797877272618148,5000
77,test11,0.7568793227447792,10000
78,test2,6.485381594757014,300
79,test2,1.8134164075209716,625
80,test2,1.1720357479865762,1250
81,test2,1.1720357479865762,2500
82,test2,1.10088487300437,5000
83,test2,0.7683083284309353,10000
84,test4,6.135632724595904,300
85,test4,1.8570976989566343,625
86,test4,1.2187517186817165,1250
87,test4,0.9977163727227952,2500
88,test4,0.6948762117914957,5000
89,test4,0.5866591520031683,10000
90,test28,4.539657157929593,300
91,test28,2.7812020339423325,625
92,test28,1.337351181851287,1250
93,test28,1.1715146917176864,2500
94,test28,1.0488305316017308,5000
95,test28,0.8604008676728242,10000
96,test20,11.730551450109019,300
97,test20,3.465541123866841,625
98,test20,2.161240546361741,1250
99,test20,1.0977118376505741,2500
100,test20,1.0810409777219343,5000
101,test20,0.8333759336080804,10000
102,test9,7.688485005664767,300
103,test9,2.7389804805134665,625
104,test9,1.3641080590672774,1250
105,test9,1.0896233460581928,2500
106,test9,1.0423207420327585,5000
107,test9,0.7363587022407725,10000
108,test23,10.978603616664133,300
109,test23,5.115408275979259,625
110,test23,1.7137542755357538,1250
111,test23,1.0880023791621267,2500
112,test23,0.966319857871154,5000
113,test23,0.8054613065662967,10000
114,test5,8.9337043408909,300
115,test5,2.8459765661760974,625
116,test5,1.3389909296905784,1250
117,test5,0.9163874546506188,2500
118,test5,0.8820899926790473,5000
119,test5,0.8178658745756162,10000
120,test26,8.72717750365003,300
121,test26,2.3706298884924997,625
122,test26,1.561213300319731,1250
123,test26,1.162340640202869,2500
124,test26,1.1199102819969804,5000
125,test26,0.8722895771591993,10000
126,test17,14.248037763676644,300
127,test17,4.562530217859269,625
128,test17,1.533289883039006,1250
129,test17,1.042891141431868,2500
130,test17,0.6034424598148707,5000
131,test17,0.5580319510253554,10000
132,test27,8.247376513964415,300
133,test27,2.342939726214809,625
134,test27,1.5311041501403466,1250
135,test27,1.0428070687287918,2500
136,test27,1.0240941633284233,5000
137,test27,0.5471902798297092,10000
138,test13,6.228220517081374,300
139,test13,2.66267471589956,625
140,test13,2.0025628835383227,1250
141,test13,1.2461440302615052,2500
142,test13,1.0896622682782782,5000
143,test13,0.7709929318664293,10000
144,test6,10.489309171930033,300
145,test6,2.051565613391479,625
146,test6,1.2612908097709294,1250
147,test6,1.1397500679952175,2500
148,test6,1.0440120134999338,5000
149,test6,0.7613664917583148,10000
150,test1,6.3220159905978175,300
151,test1,3.22887850848035,625
152,test1,1.2462001740156614,1250
153,test1,0.8649950858540721,2500
154,test1,0.5602013960059193,5000
155,test1,0.4771767894635776,10000
156,test16,3.696526346078735,300
157,test16,1.6788478356065066,625
158,test16,1.1876795602893817,1250
159,test16,1.0871319094192031,2500
160,test16,1.0871319094192031,5000
161,test16,0.9739009820514948,10000
162,test21,8.175396218914539,300
163,test21,3.0760536287512052,625
164,test21,1.4849077265027353,1250
165,test21,1.1402816308273196,2500
166,test21,0.9252160087499866,5000
167,test21,0.7152600414756085,10000
168,test22,3.969284957700322,300
169,test22,1.7615412151224086,625
170,test22,1.398634314005804,1250
171,test22,1.1972306242680368,2500
172,test22,1.096877375728163,5000
173,test22,1.0152474521067625,10000
174,test14,4.566962477706411,300
175,test14,1.9216065882052495,625
176,test14,1.1336622263920022,1250
177,test14,1.0858266504527088,2500
178,test14,0.8470198506453217,5000
179,test14,0.5814025130699558,10000
