,test,total_time,alg_time
0,test29,0.7275080680847168,0.7167255878448486
1,test30,0.760523796081543,0.7483549118041992
2,test12,0.691800594329834,0.6817045211791992
3,test18,0.6939723491668701,0.6817142963409424
4,test24,0.7104840278625488,0.6996128559112549
5,test10,0.7730779647827148,0.7608139514923096
6,test19,0.7468197345733643,0.7354416847229004
7,test15,0.6989772319793701,0.6884064674377441
8,test8,0.7061214447021484,0.6951849460601807
9,test7,0.738062858581543,0.7230331897735596
10,test25,0.6926145553588867,0.6811411380767822
11,test3,0.6975698471069336,0.685861349105835
12,test11,0.700514554977417,0.6899948120117188
13,test2,0.7140288352966309,0.703505277633667
14,test4,0.7074122428894043,0.6970510482788086
15,test28,0.7018070220947266,0.691457986831665
16,test20,0.7283315658569336,0.7165019512176514
17,test9,0.6910767555236816,0.680701494216919
18,test23,0.7235946655273438,0.7134144306182861
19,test5,0.7184164524078369,0.7050986289978027
20,test26,0.7216908931732178,0.7109498977661133
21,test17,0.7196533679962158,0.7096042633056641
22,test27,0.7326428890228271,0.7221753597259521
23,test13,0.7164421081542969,0.7049145698547363
24,test6,0.6943826675415039,0.6830594539642334
25,test1,0.7428486347198486,0.7314209938049316
26,test16,0.7473049163818359,0.7359535694122314
27,test21,0.7467007637023926,0.7344484329223633
28,test22,0.7382931709289551,0.7270157337188721
29,test14,0.70778489112854,0.6964123249053955
